Date,Time Frame,Ratings Provider,Channel,Program,Audience Share Rating,Source Article (PEP)
"Thu, 01/01/2015",Morning,AGB Nielsen,GMA Network,Doraemon,4.5,http://www.pep.ph/guide/agb/15603/agb-nielsen-mega-manila-household-ratings-jan-1-9-2015-strawberry-lane-and-hiram-na-alaala-finish-stronglythe-ryzza-mae-show-beats-mini-series-of-gerald-maja--kc-paulo
"Thu, 01/01/2015",Morning,AGB Nielsen,GMA Network,Pokemon,4.7,http://www.pep.ph/guide/agb/15603/agb-nielsen-mega-manila-household-ratings-jan-1-9-2015-strawberry-lane-and-hiram-na-alaala-finish-stronglythe-ryzza-mae-show-beats-mini-series-of-gerald-maja--kc-paulo
"Thu, 01/01/2015",Morning,AGB Nielsen,GMA Network,One Piece,7,http://www.pep.ph/guide/agb/15603/agb-nielsen-mega-manila-household-ratings-jan-1-9-2015-strawberry-lane-and-hiram-na-alaala-finish-stronglythe-ryzza-mae-show-beats-mini-series-of-gerald-maja--kc-paulo
"Thu, 01/01/2015",Morning,AGB Nielsen,GMA Network,Bleach,7.6,http://www.pep.ph/guide/agb/15603/agb-nielsen-mega-manila-household-ratings-jan-1-9-2015-strawberry-lane-and-hiram-na-alaala-finish-stronglythe-ryzza-mae-show-beats-mini-series-of-gerald-maja--kc-paulo
"Thu, 01/01/2015",Morning,AGB Nielsen,GMA Network,Ghost Fighter,8.9,http://www.pep.ph/guide/agb/15603/agb-nielsen-mega-manila-household-ratings-jan-1-9-2015-strawberry-lane-and-hiram-na-alaala-finish-stronglythe-ryzza-mae-show-beats-mini-series-of-gerald-maja--kc-paulo
"Thu, 01/01/2015",Morning,AGB Nielsen,GMA Network,Shaman King,9.1,http://www.pep.ph/guide/agb/15603/agb-nielsen-mega-manila-household-ratings-jan-1-9-2015-strawberry-lane-and-hiram-na-alaala-finish-stronglythe-ryzza-mae-show-beats-mini-series-of-gerald-maja--kc-paulo
"Thu, 01/01/2015",Morning,AGB Nielsen,GMA Network,Hunter x Hunter,9.5,http://www.pep.ph/guide/agb/15603/agb-nielsen-mega-manila-household-ratings-jan-1-9-2015-strawberry-lane-and-hiram-na-alaala-finish-stronglythe-ryzza-mae-show-beats-mini-series-of-gerald-maja-kc-paulo/1/2
"Thu, 01/01/2015",Morning,AGB Nielsen,ABS-CBN,Adventures of Tom Sawyer,3.6,http://www.pep.ph/guide/agb/15603/agb-nielsen-mega-manila-household-ratings-jan-1-9-2015-strawberry-lane-and-hiram-na-alaala-finish-stronglythe-ryzza-mae-show-beats-mini-series-of-gerald-maja-kc-paulo/1/1
"Fri, 01/02/2015",Morning,AGB Nielsen,GMA Network,Doraemon,5.1,http://www.pep.ph/guide/agb/15603/agb-nielsen-mega-manila-household-ratings-jan-1-9-2015-strawberry-lane-and-hiram-na-alaala-finish-stronglythe-ryzza-mae-show-beats-mini-series-of-gerald-maja-kc-paulo/1/2
"Fri, 01/02/2015",Morning,AGB Nielsen,GMA Network,Pokemon,5.5,http://www.pep.ph/guide/agb/15603/agb-nielsen-mega-manila-household-ratings-jan-1-9-2015-strawberry-lane-and-hiram-na-alaala-finish-stronglythe-ryzza-mae-show-beats-mini-series-of-gerald-maja-kc-paulo/1/3
